name,house_resources,sales_count,activity_rate,property_rate,education_rate,plate_rate,search_rate,raise_rate1,raise_rate2,house_count,struct_type,green_rate,volume_rate,admin_money,property_type,build_area,build_count,water,warm,electric,gas,safe,clean,elevator,park,communicate,bus,subway,kindergarten,school,university,mall,hospital,postoffice,bank,else,innersupport,rate_score
西湖大道小区,0.0,0.0,2.5,7.5,5.0,10.0,6.2,1.247,1.169,180户,板楼,6.0,2.00,0.50元/平米·月,住宅,0,5栋,杭州市水业集团有限公司,自供暖,杭州市电力局,管道燃气、罐装煤气,单元门锁,卫生费、垃圾费,0,地面停车位,移动、联通、电信等,11.0,1.0,5.0,15.0,1.0,0,7.0,3.0,1.0,9.0,1.0,388.205
大关西七苑,7.0,1.0,2.5,7.5,5.0,10.0,7.786,0.972,1.184,958户,板楼,7.0,2.50,0.50元/平米·月,住宅,92500平方米,14栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道天然气、2.4元/立方,单元门锁,卫生费、垃圾费,0,小区里面先到先停原则、管理费100元/月,移动宽带入户、按套餐收费,10.0,1.0,7.0,9.0,4.0,0,5.0,5.0,4.0,7.0,1.0,338.266
寰宇天下,0.0,0.0,5.0,5.0,5.0,7.5,0.0,1.248,0.912,2780户,板楼,10.0,2.50,3.90元/平米·月,住宅,800000平方米,25栋,市供水,自供暖,市政供电,管道燃气,封闭式小区,垃圾清运,1,共1650个车位,移动、联通、电信等,1.0,2.0,5.0,7.0,10.0,0,10.0,2.0,9.0,14.0,1.0,328.66
塘河新村,0.0,0.0,5.0,5.0,5.0,7.5,0.0,1.132,0.889,1758户,板楼,7.0,2.60,1.35元/平米·月,住宅,4455平方米,29栋,杭州市水业集团有限公司、民用、1.85元/吨,自供暖,杭州市电力局、民用、6毛不到,管道天然气、2.4元/立方,单元门锁,卫生费、垃圾费,0,200个地面停车位,移动宽带入户、按套餐收费,7.0,0.0,8.0,8.0,3.0,0,5.0,4.0,3.0,3.0,13.0,326.155
蕙宜村,5.0,9.0,2.5,5.0,5.0,10.0,8.348,1.59,1.176,0,板楼,2.0,0,0.50元/平米·月,住宅,0,0,市供水,自供暖,市供电,管道燃气、罐装煤气,小区保安,垃圾清运,0,地面停车位,电信、移动、联通等,7.0,1.0,4.0,10.0,1.0,0,9.0,7.0,1.0,4.0,1.0,325.388
文晖苑,0.0,0.0,5.0,7.5,5.0,7.5,4.476,0.907,1.289,298户,板楼,6.0,24.00,0.50元/平米·月,住宅,20000平方米,8栋,杭州市水业集团有限公司,自供暖,杭州市电力局,管道燃气,电子监控,卫生费、垃圾费,1,地面停车位,移动、联通、电信等,14.0,1.0,6.0,7.0,5.0,0,4.0,3.0,5.0,7.0,1.0,315.881
雅仕苑,1.0,1.0,2.5,5.0,5.0,7.5,3.136,1.437,0.965,1360户,板楼,6.0,2.30,1.00元/平米·月,住宅,70000平方米,40栋,杭州市水业集团有限公司、民用、2.80元/吨,自供暖,杭州市电力局、民用、0.56元,管道燃气,值班保安,垃圾清运,1,车位总数,宽带入户,12.0,1.0,7.0,7.0,2.0,0,6.0,2.0,4.0,4.0,1.0,309.981
银色港湾,0.0,0.0,5.0,7.5,5.0,7.5,0.0,1.027,1.02,866户,板楼,7.0,3.00,1.55元/平米·月,住宅,120000平方米,13栋,变频增压,无供暖,国家电网,管道煤气,进户保安门,卫生费、垃圾费,1,地下停车位309个,宽带入户,8.0,1.0,5.0,7.0,6.0,0,7.0,1.0,8.0,7.0,2.0,307.57
金沙阳光,1.0,0.0,2.5,5.0,5.0,10.0,0.0,1.198,1.033,639户,板楼,4.4,3.44,1.60元/平米·月,住宅,68208平方米,5栋,杭州市水业集团有限公司,自供暖,杭州市电力局,管道燃气、罐装煤气,小区安保,卫生费、垃圾费,0,停车位约413个,移动、联通、电信等,8.0,2.0,9.0,6.0,4.0,0,4.0,2.0,6.0,8.0,1.0,305.375
翠苑五区,0.0,0.0,5.0,5.0,10.0,10.0,9.81,1.219,1.036,2185户,板楼,6.0,1.20,0.50元/平米·月,住宅,10000平方米,29栋,自来水,自供暖,一户一表,管道煤气,电子监控,卫生费、垃圾费,1,地面停车位800,电信、移动、联通等设备,7.0,1.0,4.0,11.0,8.0,0,1.0,1.0,6.0,3.0,4.0,303.54
